line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,volatility
84,Ross,Till he disbursèd at Saint Colme’s Inch,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.0841272727272727,0.0,,0.0,0.04760377636363637,0,0,0.1818181818181818,0.11486060606060602,0.04612727272727272,0.0
85,Ross,Ten thousand dollars to our general use.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.11862727272727272,0.11147999999999998,,0.0,0.07297162636363637,0,0,0.1818181818181818,0.11397965367965367,0.08062727272727274,0.24927685813167647
86,Duncan,No more that Thane of Cawdor shall deceive,1,2,2,"Act 1, Scene 2",0.45,0.55,0.0,-0.5994,neg,0.21367272727272724,0.5875600000000001,0.6651900390114092,-0.3592803600000001,0.11691454727272726,0,1,0.45454545454545453,0.20902510822510817,0.19204545454545452,
87,Duncan,"Our bosom interest. Go, pronounce his present",1,2,2,"Act 1, Scene 2",0.0,0.667,0.333,0.4588,pos,0.18290909090909088,0.56312,0.6520407655967533,0.21049743999999998,0.10650413272727272,1,0,0.3636363636363636,0.1686281385281385,0.16128181818181817,
88,Duncan,"death,",1,2,2,"Act 1, Scene 2",1.0,0.0,0.0,-0.5994,neg,0.11109999999999998,0.5271000000000001,0.6029498751969354,-0.3592803600000001,0.0763629318181818,0,1,0.18181818181818182,0.11305238095238092,0.14944545454545455,
89,Duncan,And with his former title greet Macbeth.,1,2,2,"Act 1, Scene 2",0.0,0.723,0.277,0.3182,pos,0.11109999999999998,0.40722,0.49143129529976015,0.10125123999999999,0.0763629318181818,1,0,0.18181818181818182,0.12152380952380949,0.14944545454545455,
90,Ross,I’ll see it done.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.11862727272727272,0.22585999999999995,,0.0,0.07297162636363637,0,0,0.1818181818181818,0.12905108225108225,0.15697272727272726,0.3093140281332225
91,Duncan,"What he hath lost, noble Macbeth hath won.",1,2,2,"Act 1, Scene 2",0.164,0.357,0.479,0.6597,pos,0.07106363636363634,0.31545999999999996,0.46558652257126176,0.43520408999999993,0.05873091727272725,1,0,0.09090909090909094,0.10427792207792205,0.1094090909090909,
92,First Witch,"Where hast thou been, sister?",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,-0.007227272727272729,0.11148,0.24927685813167655,0.0,-0.00863153181818182,0,0,0.0,0.025987012987012975,-0.023372727272727267,
93,Second Witch,Killing swine.,1,3,3,"Act 1, Scene 3",0.815,0.185,0.0,-0.6597,neg,0.08984545454545456,0.24342000000000003,0.4312208807560228,-0.43520408999999993,0.05040827545454547,0,1,0.1818181818181818,0.12305974025974026,0.17330909090909094,
94,Third Witch,"Sister, where thou?",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.11890909090909091,0.11148,0.24927685813167658,0.0,0.07946319272727274,0,0,0.18181818181818182,0.12704242424242423,0.1478818181818182,
95,First Witch,A sailor’s wife had chestnuts in her lap,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,-0.007227272727272729,0.0,0.0,0.0,-0.00863153181818182,0,0,0.0,0.0009060606060605969,0.05067272727272727,
96,First Witch,And munched and munched and munched. Give,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.02560909090909091,0.12738,0.28483033897392324,0.0,0.003228962727272726,0,0,0.09090909090909091,0.03374242424242424,0.05067272727272727,
